Undefined,Alfalfa,Corn-notill,Corn-mintill,Corn,Grass-pasture,Grass-trees,Grass-pasture-mowed,Hay-windrowed,Oats,Soybean-notill,Soybean-mintill,Soybean-clean,Wheat,Woods,Buildings-Grass-Trees-Drives,Stone-Steel-Towers,Experiment
0.0,0.9527127924340468,1.0,0.9929257200606367,0.9806312769010043,0.9896526237989652,0.9845920687042182,0.9882648784576697,0.8954990894111525,0.9951698599259379,0.9677615571776156,0.9653558052434457,0.9704510108864697,0.9759825327510917,0.9673202614379085,0.8332296977987812,0.860066371681416,Salinas_PCA_8_mou
0.0,0.9527127924340468,1.0,0.9989883662114315,0.9748923959827833,0.989648798521257,0.9845920687042182,0.9882648784576697,0.8734241048915784,0.9958111809247624,0.9710454129838464,0.9691011235955056,0.9704356846473029,0.9759825327510917,0.9720149253731343,0.7935831557839328,0.8594355285002767,Salinas_PCA_8_hamida
0.0,0.9527127924340468,1.0,0.9989878542510121,0.9885304659498207,0.996276991809382,0.9845920687042182,0.9882648784576697,0.8672780325135473,0.9962927143778207,0.9699088145896656,0.9663551401869159,0.97145822522055,0.9759825327510917,0.9720149253731343,0.7832369942196532,0.8599889319313779,Salinas_PCA_8_li
0.0,0.9527127924340468,1.0,0.9954591321897074,0.9737402413058907,0.9870322341608003,0.9840949255238576,0.9879854708019,0.8794192997438087,0.9959716403480503,0.9608021877848678,0.9491682070240296,0.9704510108864697,0.9727668845315904,0.9692737430167597,0.8087560461366737,0.8599889319313779,Salinas_PCA_8_paoletti
0.0,0.9366093366093367,0.9863563402889246,0.8494002665482008,0.9554140127388535,0.8889697852202403,0.9843434343434343,0.9328220047606454,0.6822707683162431,0.9326968973747016,0.782867985904039,0.6382978723404256,0.9146100691016782,0.7941712204007286,0.9319852941176471,0.5783932249942779,0.5701219512195121,Salinas_PCA_15_mou
0.0,0.9527127924340468,0.9994632313472893,0.9875,0.9885714285714285,0.9958939902948861,0.9843394796665824,0.9879854708019,0.8679167694711736,0.9950096587250483,0.960730593607306,0.9487895716945997,0.9639546858908342,0.9738562091503268,0.9710550887021475,0.7777351247600768,0.8562741846323936,Salinas_PCA_15_hamida
0.0,0.9527127924340468,1.0,0.9929612870789342,0.9906810035842294,0.9970171513795675,0.9845920687042182,0.9879888268156425,0.85875946566834,0.9951698599259379,0.958904109589041,0.9538319482917821,0.970954356846473,0.9759825327510917,0.9701492537313433,0.7832286128564524,0.8605423353624793,Salinas_PCA_15_li
0.0,0.8751714677640604,0.9451284796573876,0.8858643744030563,0.9814285714285714,0.9330935251798561,0.9845920687042182,0.954967248908297,0.7743277602280607,0.9611959287531806,0.8344733242134063,0.7150041911148366,0.9370199692780338,0.952329360780065,0.947992700729927,0.6399415133422688,0.7823974082073434,Salinas_PCA_15_paoletti
0.0,0.9527127924340468,1.0,0.979187314172448,0.9619799139167863,0.9830944505696435,0.9838343015913109,0.9879854708019,0.8462123774095367,0.9964533290343383,0.9455040871934605,0.9499536607970342,0.9694458829621958,0.9695982627578719,0.9580615097856477,0.7715827338129496,0.8565121412803532,Salinas_PCA_30_mou
0.0,0.9527127924340468,1.0,1.0,0.9892395982783357,0.9977645305514158,0.9845920687042182,0.9882648784576697,0.9188566552901024,0.9964533290343383,0.9734675205855444,0.9709737827715356,0.97145822522055,0.9748908296943232,0.9701770736253494,0.8560905024993423,0.8599889319313779,Salinas_PCA_30_hamida
0.0,0.9527127924340468,1.0,1.0,0.9921203438395415,0.9992531740104555,0.9845920687042182,0.9882648784576697,0.9216083054724618,0.9964533290343383,0.973170731707317,0.9709737827715356,0.97145822522055,0.9759825327510917,0.9710820895522388,0.8691576947435086,0.8599889319313779,Salinas_PCA_30_li
0.0,0.9527127924340468,0.9997316156736447,0.9959616355376073,0.96105702364395,0.9817436661698957,0.9835982841281857,0.9877129293493437,0.9425515397222461,0.9962921167177172,0.9665042630937881,0.945845004668534,0.9619732785200411,0.9738562091503268,0.9665738161559888,0.8924731182795699,0.8583287216380742,Salinas_PCA_30_paoletti
0.0,0.9522150323544052,0.9986598767086572,0.9810473815461347,0.9856836077308518,0.9918276374442794,0.9845920687042182,0.9868715083798882,0.8530510585305106,0.9951690821256038,0.9532991865019584,0.9542056074766355,0.9684428349715468,0.9706840390879479,0.9628597957288765,0.7674360883593944,0.8594355285002767,Salinas_FastICA_8_mou
0.0,0.9527127924340468,1.0,0.9959514170040485,0.990674318507891,0.9985085756897838,0.9845920687042182,0.9879888268156425,0.8481199311870239,0.9938818225728546,0.9665653495440729,0.95817843866171,0.9689119170984456,0.9737991266375546,0.9692451071761417,0.7524641297567062,0.8599889319313779,Salinas_FastICA_8_hamida
0.0,0.9527127924340468,1.0,0.979757085020243,0.9892395982783357,0.9845588235294118,0.9845920687042182,0.9882648784576697,0.8911310413552566,0.9938877271996139,0.968026796589525,0.9672897196261683,0.97145822522055,0.9759825327510917,0.9720149253731343,0.8100288033516627,0.8599889319313779,Salinas_FastICA_8_li
0.0,0.9527127924340468,0.9962426194310252,0.9503166098392596,0.9639065817409767,0.9701547531319086,0.9835817125536752,0.9854789165037698,0.8128983562562898,0.9937218287186091,0.9175873395043297,0.8872377622377622,0.9659090909090909,0.9737991266375546,0.9503219871205152,0.7261205207973269,0.8422800221361373,Salinas_FastICA_8_paoletti
0.0,0.9522150323544052,0.9997316876844647,0.9550224887556222,0.9351535836177475,0.9216323582520766,0.9820707070707071,0.9863128491620111,0.8397608622431795,0.9500389105058366,0.9168141592920354,0.9365808823529411,0.9493346980552713,0.9510869565217391,0.917572463768116,0.7772915147094578,0.8518518518518519,Salinas_FastICA_15_mou
0.0,0.9477611940298507,1.0,0.9964664310954063,0.9885222381635581,0.9966505396352809,0.9840949255238576,0.9866108786610879,0.850238037601872,0.992282958199357,0.9547238152731663,0.9469767441860465,0.9629439011837365,0.9566160520607375,0.9529085872576177,0.7453035143769968,0.8531198233020431,Salinas_FastICA_15_hamida
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2090330597183523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salinas_FastICA_15_li
