Experiment,Accuracy,Kappa,Dataset,DR Method,N Components,Model,Class,IoU Score
IndianPines_SOM_15_li,83.39350180505416,0.8107276192420584,IndianPines,SOM,15.0,li,Undefined,
IndianPines_SOM_15_paoletti,89.12088984291151,0.8758905541712624,IndianPines,SOM,15.0,paoletti,Undefined,
IndianPines_SOM_30_mou,87.72563176895306,0.8603836496068537,IndianPines,SOM,30.0,mou,Undefined,
IndianPines_SOM_30_hamida,97.09239925846424,0.9669427124790888,IndianPines,SOM,30.0,hamida,Undefined,
IndianPines_SOM_30_li,90.52590496633816,0.8921216298398892,IndianPines,SOM,30.0,li,Undefined,
IndianPines_SOM_30_paoletti,89.5014147721729,0.8803027869758289,IndianPines,SOM,30.0,paoletti,Undefined,
IndianPines_Corr_8_mou,76.02499023818821,0.7242782009130428,IndianPines,Corr,8.0,mou,Undefined,
IndianPines_Corr_8_hamida,81.54041390082,0.7902187421344499,IndianPines,Corr,8.0,hamida,Undefined,
IndianPines_Corr_8_li,74.41429129246389,0.7049177650578656,IndianPines,Corr,8.0,li,Undefined,
IndianPines_Corr_8_paoletti,79.12924638812964,0.7606215634739103,IndianPines,Corr,8.0,paoletti,Undefined,
IndianPines_Corr_15_mou,79.578289730574,0.766574223422945,IndianPines,Corr,15.0,mou,Undefined,
IndianPines_Corr_15_hamida,85.50370948848106,0.8345987410235914,IndianPines,Corr,15.0,hamida,Undefined,
IndianPines_Corr_15_li,67.07340882467786,0.6185613820055155,IndianPines,Corr,15.0,li,Undefined,
IndianPines_Corr_15_paoletti,79.59781335415853,0.7657247463497856,IndianPines,Corr,15.0,paoletti,Undefined,
IndianPines_Corr_30_mou,83.19992190550566,0.8077970142821824,IndianPines,Corr,30.0,mou,Undefined,
IndianPines_Corr_30_hamida,93.64506052323313,0.9275930392579986,IndianPines,Corr,30.0,hamida,Undefined,
IndianPines_Corr_30_li,65.08199921905506,0.5938217990604873,IndianPines,Corr,30.0,li,Undefined,
IndianPines_Corr_30_paoletti,77.4599765716517,0.7412873835276772,IndianPines,Corr,30.0,paoletti,Undefined,
IndianPines_Var_8_mou,76.14213197969544,0.72629081186898,IndianPines,Var,8.0,mou,Undefined,
IndianPines_Var_8_hamida,80.0761421319797,0.7725674396478752,IndianPines,Var,8.0,hamida,Undefined,
IndianPines_Var_8_li,87.9832096837173,0.8627414286537316,IndianPines,Var,8.0,li,Undefined,
IndianPines_Var_8_paoletti,80.72042171026943,0.7806533474858448,IndianPines,Var,8.0,paoletti,Undefined,
IndianPines_Var_15_mou,87.37797735259664,0.8560231027541741,IndianPines,Var,15.0,mou,Undefined,
IndianPines_Var_15_hamida,94.8945724326435,0.9419414392038686,IndianPines,Var,15.0,hamida,Undefined,
IndianPines_Var_15_li,89.94533385396329,0.8853545841161838,IndianPines,Var,15.0,li,Undefined,
IndianPines_Var_15_paoletti,85.84537290121047,0.8383699093167247,IndianPines,Var,15.0,paoletti,Undefined,
IndianPines_Var_30_mou,85.88442014837955,0.8392104321050899,IndianPines,Var,30.0,mou,Undefined,
IndianPines_Var_30_hamida,96.80788754392816,0.9636897337443554,IndianPines,Var,30.0,hamida,Undefined,
IndianPines_Var_30_li,90.9996095275283,0.8973022598602832,IndianPines,Var,30.0,li,Undefined,
IndianPines_Var_30_paoletti,87.22178836392034,0.8541473434009772,IndianPines,Var,30.0,paoletti,Undefined,
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
,,,,,,,Undefined,0.0
IndianPines_PCA_8_mou,92.78602108551348,0.9178804271775152,IndianPines,PCA,8.0,mou,Alfalfa,
IndianPines_PCA_8_hamida,97.12026552128076,0.9672566855231628,IndianPines,PCA,8.0,hamida,Alfalfa,
IndianPines_PCA_8_li,97.39359625146427,0.9703704852790824,IndianPines,PCA,8.0,li,Alfalfa,
IndianPines_PCA_8_paoletti,95.6169465052714,0.9502035792986734,IndianPines,PCA,8.0,paoletti,Alfalfa,
IndianPines_PCA_15_mou,80.53494728621632,0.7786321758651745,IndianPines,PCA,15.0,mou,Alfalfa,
IndianPines_PCA_15_hamida,96.90550566185084,0.9648032850504292,IndianPines,PCA,15.0,hamida,Alfalfa,
IndianPines_PCA_15_li,91.1265130808278,0.8991052163756731,IndianPines,PCA,15.0,li,Alfalfa,
IndianPines_PCA_15_paoletti,66.17532213978915,0.6115922014108471,IndianPines,PCA,15.0,paoletti,Alfalfa,
IndianPines_PCA_30_mou,64.789144865287,0.5953701722436795,IndianPines,PCA,30.0,mou,Alfalfa,
IndianPines_PCA_30_hamida,97.18859820382664,0.9680350378228194,IndianPines,PCA,30.0,hamida,Alfalfa,
IndianPines_PCA_30_li,75.40999609527529,0.7175853724210614,IndianPines,PCA,30.0,li,Alfalfa,
IndianPines_PCA_30_paoletti,64.50605232331121,0.5890760454670927,IndianPines,PCA,30.0,paoletti,Alfalfa,
IndianPines_FastICA_8_mou,88.80320187426787,0.8727241357481775,IndianPines,FastICA,8.0,mou,Alfalfa,
IndianPines_FastICA_8_hamida,96.8566966028895,0.9642573077941268,IndianPines,FastICA,8.0,hamida,Alfalfa,
IndianPines_FastICA_8_li,97.06169465052714,0.9665812126559132,IndianPines,FastICA,8.0,li,Alfalfa,
IndianPines_FastICA_8_paoletti,93.57672784068724,0.9269751546160928,IndianPines,FastICA,8.0,paoletti,Alfalfa,
IndianPines_FastICA_15_mou,92.98125732135884,0.9200472970671394,IndianPines,FastICA,15.0,mou,Alfalfa,
IndianPines_FastICA_15_hamida,97.30573994533384,0.9693676828872444,IndianPines,FastICA,15.0,hamida,Alfalfa,
IndianPines_FastICA_15_li,96.46622413119876,0.9598172300786724,IndianPines,FastICA,15.0,li,Alfalfa,
